Tipo de operación,Producto y/o Servicio ,Subproducto,Causa ,Código de Producto ,Código de Causa ,CONSULTA ,RECLAMACIÓN ,ACLARACIÓN 
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"El Usuario, cliente y/o socio no recibió el estado de cuenta con la leyenda de liquidación ",'025711051167 ,'0939 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"El Usuario, cliente y/o socio no reconoce haber celebrado contrato con la Institución ",'025711051167 ,'0940 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Inconformidad con el cobro de comisión y accesorios por cancelación de crédito en términos de lo dispuesto en el contrato ,'025711051167 ,'0963 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025711051167 ,'0967 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025711051167 ,'0969 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Inconformidad con la aclaración de los términos del contrato ,'025711051167 ,'1005 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Inconformidad con la no aceptación de pago con otro medio diferente al efectivo ,'025711051167 ,'1011 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Incumplimiento con los términos del contrato ,'025711051167 ,'1042 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"Modificación de comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711051167 ,'1058 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"Modificación de tasa contractual sin aviso previo al Usuario, cliente y/o socio ",'025711051167 ,'1060 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Negativa a cumplir con la conclusión anticipada establecida en el contrato ,'025711051167 ,'1064 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,No entrega de tabla de amortización al momento de formalizar el contrato ,'025711051167 ,'1074 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"No envío de estados de cuenta al domicilio del Usuario, cliente y/o socio ",'025711051167 ,'1075 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Orientación sobre el funcionamiento de productos y servicios financieros ,'025711051167 ,'1079 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Pago o depósito no aplicado total o parcialmente al producto o servicio ,'025711051167 ,'1081 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Solicitud de cancelación de producto o servicio no atendida y/o no aplicada ,'025711051167 ,'1101 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Información sobre la actualización de historial crediticio ,'025711051167 ,'1200 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Consulta del monto de las primas de los seguros por lo que respecta a la amortización ,'025711051167 ,'1204 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Solicitud de estados de cuenta ,'025711051167 ,'1207 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Información del cobro de intereses ordinarios y/o moratorios ,'025711051167 ,'1211 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,Información para la cancelación de producto o servicio ,'025711051167 ,'1217 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Simple (CE) ,"Información para la entrega de la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711051167 ,'1221 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Solicitud de estados de cuenta no atendida ,'025711051168 ,'0188 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con la recepción de pagos ,'025711051168 ,'0353 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el cobro de comisiones y/o gastos de investigación ,'025711051168 ,'0413 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el saldo del crédito o del monto de las amortizaciones ,'025711051168 ,'0577 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el monto de los gastos de apertura del crédito ,'025711051168 ,'0582 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Crédito aprobado sin la entrega de recursos ,'025711051168 ,'0583 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el monto de las primas de los seguros por lo que respecta a la amortización ,'025711051168 ,'0611 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Negociación de créditos (Orientación) ,'025711051168 ,'0666 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Consulta de saldos y movimientos no atendida ,'025711051168 ,'0712 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Actualización de historial crediticio no realizada ,'025711051168 ,'0730 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Beneficios no aplicados al crédito ,'025711051168 ,'0732 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el monto de las primas devengadas del seguro vinculado ,'025711051168 ,'0751 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,No entrega de acuse de recepción de la aclaración ,'025711051168 ,'0770 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Crédito no reconocido en el historial crediticio ,'025711051168 ,'0835 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Cobro de comisión por pago efectuado no aplicado ,'025711051168 ,'0840 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Cobro no reconocido de intereses ordinarios y/o moratorios ,'025711051168 ,'0841 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Convenio/reestructura de pago no respetado por la Institución ,'025711051168 ,'0842 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Eliminación de historial crediticio no realizada ,'025711051168 ,'0844 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el cobro de comisión no reconocida o no pactada en el contrato ,'025711051168 ,'0849 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el cobro de comisión por cancelación del crédito ,'025711051168 ,'0850 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el cobro de comisión por pago anticipado no pactada en el contrato ,'025711051168 ,'0851 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el cobro de intereses moratorios y accesorios durante el proceso de aclaración ,'025711051168 ,'0853 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el cobro de intereses no pactados en el contrato ,'025711051168 ,'0854 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el monto de la prima de los seguros y/o con la forma del pago del mismo ,'025711051168 ,'0855 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad por cambio de Aseguradora ,'025711051168 ,'0857 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711051168 ,'0858 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"Crédito otorgado sin ser solicitado ni autorizado por el Usuario, cliente y/o socio ",'025711051168 ,'0913 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"El Usuario, cliente y/o socio no recibió el estado de cuenta con la leyenda de liquidación ",'025711051168 ,'0939 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"El Usuario, cliente y/o socio no reconoce haber celebrado contrato con la Institución ",'025711051168 ,'0940 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con el cobro de comisión y accesorios por cancelación de crédito en términos de lo dispuesto en el contrato ,'025711051168 ,'0963 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025711051168 ,'0967 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025711051168 ,'0969 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con la aclaración de los términos del contrato ,'025711051168 ,'1005 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Inconformidad con la no aceptación de pago con otro medio diferente al efectivo ,'025711051168 ,'1011 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Incumplimiento con los términos del contrato ,'025711051168 ,'1042 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"Modificación de comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711051168 ,'1058 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"Modificación de tasa contractual sin aviso previo al Usuario, cliente y/o socio ",'025711051168 ,'1060 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Negativa a cumplir con la conclusión anticipada establecida en el contrato ,'025711051168 ,'1064 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,No entrega de tabla de amortización al momento de formalizar el contrato ,'025711051168 ,'1074 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"No envío de estados de cuenta al domicilio del Usuario, cliente y/o socio ",'025711051168 ,'1075 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Orientación sobre el funcionamiento de productos y servicios financieros ,'025711051168 ,'1079 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Pago o depósito no aplicado total o parcialmente al producto o servicio ,'025711051168 ,'1081 ,,SI ,SI 
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Solicitud de cancelación de producto o servicio no atendida y/o no aplicada ,'025711051168 ,'1101 ,,SI ,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Información sobre la actualización de historial crediticio ,'025711051168 ,'1200 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Consulta del monto de las primas de los seguros por lo que respecta a la amortización ,'025711051168 ,'1204 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Solicitud de estados de cuenta ,'025711051168 ,'1207 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Información del cobro de intereses ordinarios y/o moratorios ,'025711051168 ,'1211 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,Información para la cancelación de producto o servicio ,'025711051168 ,'1217 ,SI ,,
Operaciones Activas ,Crédito empresarial ,Crédito Cuenta Corriente (CE) ,"Información para la entrega de la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711051168 ,'1221 ,SI ,,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Solicitud de estados de cuenta no atendida ,'025711061169 ,'0188 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con la recepción de pagos ,'025711061169 ,'0353 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de comisiones y/o gastos de investigación ,'025711061169 ,'0413 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el saldo del crédito o del monto de las amortizaciones ,'025711061169 ,'0577 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el monto de los gastos de apertura del crédito ,'025711061169 ,'0582 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Crédito aprobado sin la entrega de recursos ,'025711061169 ,'0583 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el monto de las primas de los seguros por lo que respecta a la amortización ,'025711061169 ,'0611 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad respecto del saldo a favor después del siniestro ,'025711061169 ,'0612 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Negociación de créditos (Orientación) ,'025711061169 ,'0666 ,SI ,,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Consulta de saldos y movimientos no atendida ,'025711061169 ,'0712 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Actualización de historial crediticio no realizada ,'025711061169 ,'0730 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Beneficios no aplicados al crédito ,'025711061169 ,'0732 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Cobro de nuevas comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711061169 ,'0734 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el monto de las primas devengadas del seguro vinculado ,'025711061169 ,'0751 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,No se otorgó oferta vinculante o no se respetó ,'025711061169 ,'0760 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Otorgamiento de crédito a menores ,'025711061169 ,'0761 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,No entrega de acuse de recepción de la aclaración ,'025711061169 ,'0770 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Crédito no reconocido en el historial crediticio ,'025711061169 ,'0835 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Cobro de comisión por pago efectuado no aplicado ,'025711061169 ,'0840 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Cobro no reconocido de intereses ordinarios y/o moratorios ,'025711061169 ,'0841 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Convenio/reestructura de pago no respetado por la Institución ,'025711061169 ,'0842 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Eliminación de historial crediticio no realizada ,'025711061169 ,'0844 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de comisión no reconocida o no pactada en el contrato ,'025711061169 ,'0849 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de comisión por cancelación del crédito ,'025711061169 ,'0850 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de comisión por pago anticipado no pactada en el contrato ,'025711061169 ,'0851 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de intereses moratorios y accesorios durante el proceso de aclaración ,'025711061169 ,'0853 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de intereses no pactados en el contrato ,'025711061169 ,'0854 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el monto de la prima de los seguros y/o con la forma del pago del mismo ,'025711061169 ,'0855 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad por cambio de Aseguradora ,'025711061169 ,'0857 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711061169 ,'0858 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Crédito otorgado sin ser solicitado ni autorizado por el Usuario, cliente y/o socio ",'025711061169 ,'0913 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"El Usuario, cliente y/o socio no recibió el estado de cuenta con la leyenda de liquidación ",'025711061169 ,'0939 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de comisión por extender oferta vinculante ,'025711061169 ,'0956 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de comisión por subrogación de crédito ,'025711061169 ,'0961 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con el cobro de comisión y accesorios por cancelación de crédito en términos de lo dispuesto en el contrato ,'025711061169 ,'0963 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025711061169 ,'0967 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025711061169 ,'0969 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con la aclaración de los términos del contrato ,'025711061169 ,'1005 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Inconformidad con la no aceptación de pago con otro medio diferente al efectivo ,'025711061169 ,'1011 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Incumplimiento con los términos del contrato ,'025711061169 ,'1042 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Modificación de comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711061169 ,'1058 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Modificación de tasa contractual sin aviso previo al Usuario, cliente y/o socio ",'025711061169 ,'1060 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Negativa a cumplir con la conclusión anticipada establecida en el contrato ,'025711061169 ,'1064 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,No entrega de tabla de amortización al momento de formalizar el contrato ,'025711061169 ,'1074 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"No envío de estados de cuenta al domicilio del Usuario, cliente y/o socio ",'025711061169 ,'1075 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Pago o depósito no aplicado total o parcialmente al producto o servicio ,'025711061169 ,'1081 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Promociones, meses sin intereses, sorteos o premios no entregados o aplicados al Usuario, cliente y/o socio ",'025711061169 ,'1086 ,,SI ,SI 
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Solicitud de cancelación de producto o servicio no atendida y/o no aplicada ,'025711061169 ,'1101 ,,SI ,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Información sobre la actualización de historial crediticio ,'025711061169 ,'1200 ,SI ,,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Consulta del monto de las primas de los seguros por lo que respecta a la amortización ,'025711061169 ,'1204 ,SI ,,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Solicitud de estados de cuenta ,'025711061169 ,'1207 ,SI ,,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Información del cobro de intereses ordinarios y/o moratorios ,'025711061169 ,'1211 ,SI ,,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,Información para la cancelación de producto o servicio ,'025711061169 ,'1217 ,SI ,,
Operaciones Activas ,Crédito hipotecario ,Crédito Simple (CH) ,"Información para la entrega de la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711061169 ,'1221 ,SI ,,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Solicitud de estados de cuenta no atendida ,'025711071170 ,'0188 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con la recepción de pagos ,'025711071170 ,'0353 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el cobro de comisiones y/o gastos de investigación ,'025711071170 ,'0413 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el saldo del crédito o del monto de las amortizaciones ,'025711071170 ,'0577 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el monto de los gastos de apertura del crédito ,'025711071170 ,'0582 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Crédito aprobado sin la entrega de recursos ,'025711071170 ,'0583 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el monto de las primas de los seguros por lo que respecta a la amortización ,'025711071170 ,'0611 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Negociación de créditos (Orientación) ,'025711071170 ,'0666 ,SI ,,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Consulta de saldos y movimientos no atendida ,'025711071170 ,'0712 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Actualización de historial crediticio no realizada ,'025711071170 ,'0730 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Beneficios no aplicados al crédito ,'025711071170 ,'0732 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,"Cobro de nuevas comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711071170 ,'0734 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el monto de las primas devengadas del seguro vinculado ,'025711071170 ,'0751 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Otorgamiento de crédito a menores ,'025711071170 ,'0761 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,No entrega de acuse de recepción de la aclaración ,'025711071170 ,'0770 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Crédito no reconocido en el historial crediticio ,'025711071170 ,'0835 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Cobro de comisión por pago efectuado no aplicado ,'025711071170 ,'0840 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Cobro no reconocido de intereses ordinarios y/o moratorios ,'025711071170 ,'0841 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Convenio/reestructura de pago no respetado por la Institución ,'025711071170 ,'0842 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Eliminación de historial crediticio no realizada ,'025711071170 ,'0844 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el cobro de comisión no reconocida o no pactada en el contrato ,'025711071170 ,'0849 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el cobro de comisión por cancelación del crédito ,'025711071170 ,'0850 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el cobro de comisión por pago anticipado no pactada en el contrato ,'025711071170 ,'0851 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el cobro de intereses moratorios y accesorios durante el proceso de aclaración ,'025711071170 ,'0853 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el cobro de intereses no pactados en el contrato ,'025711071170 ,'0854 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el monto de la prima de los seguros y/o con la forma del pago del mismo ,'025711071170 ,'0855 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad por cambio de Aseguradora ,'025711071170 ,'0857 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711071170 ,'0858 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,"Crédito otorgado sin ser solicitado ni autorizado por el Usuario, cliente y/o socio ",'025711071170 ,'0913 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,"El Usuario, cliente y/o socio no recibió el estado de cuenta con la leyenda de liquidación ",'025711071170 ,'0939 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,"El Usuario, cliente y/o socio no reconoce haber celebrado contrato con la Institución ",'025711071170 ,'0940 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,Inconformidad con el cobro de comisión y accesorios por cancelación de crédito en términos de lo dispuesto en el contrato ,'025711071170 ,'0963 ,,SI ,SI 
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025711071170 ,'0967 ,,SI ,
Operaciones Activas ,Crédito para adultos mayores (pensionados o jubilados) ,Crédito Simple (CAM) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025711071170 ,'0969 ,,SI ,SI 
